,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
2337,1620486000000,2021-05-08 15:00:00,BTCUSD,59031.88,59031.88,57600.0,57691.61,234.4816914533
2336,1620489600000,2021-05-08 16:00:00,BTCUSD,57691.61,58604.91,57691.61,58474.75,80.6185982598
2335,1620493200000,2021-05-08 17:00:00,BTCUSD,58474.75,59109.38,58242.48,59020.99,118.9742741557
2334,1620496800000,2021-05-08 18:00:00,BTCUSD,59020.99,59385.72,59020.99,59159.41,77.1222014495
2333,1620500400000,2021-05-08 19:00:00,BTCUSD,59159.41,59385.08,59000.0,59127.81,73.967187211
2332,1620504000000,2021-05-08 20:00:00,BTCUSD,59127.81,59560.0,58847.79,59024.78,74.4506925617
2331,1620507600000,2021-05-08 21:00:00,BTCUSD,59024.78,59190.54,58776.0,58883.01,90.1576427484
2330,1620511200000,2021-05-08 22:00:00,BTCUSD,58883.01,59191.15,58584.65,58693.85,32.6216055002
2329,1620514800000,2021-05-08 23:00:00,BTCUSD,58693.85,58983.1,58601.8,58983.1,26.8472228931
2328,1620518400000,2021-05-09 00:00:00,BTCUSD,58983.1,59169.6,58593.46,58623.06,30.0136757786
2327,1620522000000,2021-05-09 01:00:00,BTCUSD,58623.06,59318.35,58449.77,59177.22,56.4061880865
2326,1620525600000,2021-05-09 02:00:00,BTCUSD,59177.22,59231.01,58609.36,58729.42,31.8066364022
2325,1620529200000,2021-05-09 03:00:00,BTCUSD,58729.42,59098.93,57661.84,58545.16,372.6466125528
2324,1620532800000,2021-05-09 04:00:00,BTCUSD,58545.16,58873.34,57718.84,58204.26,288.326849205
2323,1620536400000,2021-05-09 05:00:00,BTCUSD,58204.26,58609.7,57964.64,58516.21,82.2618011137
2322,1620540000000,2021-05-09 06:00:00,BTCUSD,58516.21,58610.92,58271.64,58374.03,26.9083278924
2321,1620543600000,2021-05-09 07:00:00,BTCUSD,58374.03,58385.57,57791.41,58009.32,26.3547061419
2320,1620547200000,2021-05-09 08:00:00,BTCUSD,58009.32,58268.93,57868.94,58252.82,14.8145937117
2319,1620550800000,2021-05-09 09:00:00,BTCUSD,58252.82,58369.4,57637.56,58001.62,19.0868607216
2318,1620554400000,2021-05-09 10:00:00,BTCUSD,58001.62,58062.6,57555.0,57983.88,24.445228848
2317,1620558000000,2021-05-09 11:00:00,BTCUSD,57983.88,58187.8,57913.21,57954.0,79.9372111253
2316,1620561600000,2021-05-09 12:00:00,BTCUSD,57954.0,57981.72,56275.13,56419.67,238.9374981322
