unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1628740800000,2021-08-12 04:00:00,BTC/USDT,45927.00000000,46016.57000000,45522.44000000,45588.95000000,1791.25308300,81978389.35746775,52974
1628744400000,2021-08-12 05:00:00,BTC/USDT,45588.95000000,45624.13000000,44833.40000000,45150.57000000,5416.19801800,244625722.15335622,144183
1628748000000,2021-08-12 06:00:00,BTC/USDT,45150.57000000,45237.28000000,44850.00000000,45230.01000000,3194.10983200,143873123.88693034,130066
1628751600000,2021-08-12 07:00:00,BTC/USDT,45230.01000000,45388.00000000,44999.00000000,45243.61000000,2181.98185900,98653455.98840125,65720
1628755200000,2021-08-12 08:00:00,BTC/USDT,45243.61000000,45391.06000000,45109.37000000,45230.50000000,1798.48964900,81383920.61212939,41666
1628758800000,2021-08-12 09:00:00,BTC/USDT,45230.49000000,45580.00000000,44844.72000000,45349.19000000,2783.28109400,125894927.38473825,65802
1628762400000,2021-08-12 10:00:00,BTC/USDT,45349.19000000,45662.74000000,45317.51000000,45345.00000000,1477.96774800,67169377.88559164,54472
1628766000000,2021-08-12 11:00:00,BTC/USDT,45344.99000000,45435.34000000,44600.00000000,44752.56000000,3409.21098700,153321990.73881166,77892
1628769600000,2021-08-12 12:00:00,BTC/USDT,44752.56000000,44968.29000000,44255.99000000,44602.55000000,4041.93324400,180189753.21364529,95443
1628773200000,2021-08-12 13:00:00,BTC/USDT,44602.54000000,44742.76000000,44444.32000000,44456.21000000,1867.73701100,83293014.86144798,68244
1628776800000,2021-08-12 14:00:00,BTC/USDT,44456.21000000,44522.63000000,43920.00000000,44137.17000000,4471.48708600,197754326.39889356,100693
1628780400000,2021-08-12 15:00:00,BTC/USDT,44133.00000000,44339.99000000,44066.00000000,44196.19000000,1990.63590600,88068791.10933753,84354
1628784000000,2021-08-12 16:00:00,BTC/USDT,44196.19000000,44349.49000000,43770.00000000,43999.41000000,3902.93462200,171873990.42951299,83220
1628787600000,2021-08-12 17:00:00,BTC/USDT,43999.40000000,44279.38000000,43860.82000000,44120.00000000,1544.06336400,68139882.38326207,45599
1628791200000,2021-08-12 18:00:00,BTC/USDT,44120.00000000,44512.20000000,44108.78000000,44423.82000000,1635.00202200,72462000.17185653,48325
1628794800000,2021-08-12 19:00:00,BTC/USDT,44423.81000000,44482.72000000,44260.00000000,44371.32000000,1270.49956300,56376009.57305044,38776
1628798400000,2021-08-12 20:00:00,BTC/USDT,44371.80000000,44549.99000000,44084.00000000,44474.97000000,1436.28860900,63763442.86312301,44895
1628802000000,2021-08-12 21:00:00,BTC/USDT,44474.96000000,44538.00000000,44142.00000000,44242.13000000,1127.54819500,49965362.91785404,39702
1628805600000,2021-08-12 22:00:00,BTC/USDT,44242.13000000,44295.38000000,43855.88000000,43954.59000000,1451.94004700,63937321.05592978,45436
1628809200000,2021-08-12 23:00:00,BTC/USDT,43954.42000000,44535.99000000,43948.38000000,44399.00000000,1753.36767700,77719346.31988542,48016
1628812800000,2021-08-13 00:00:00,BTC/USDT,44400.06000000,44675.69000000,44217.39000000,44493.69000000,2803.71791300,124738547.32793054,131116
1628816400000,2021-08-13 01:00:00,BTC/USDT,44493.69000000,44922.00000000,44455.00000000,44847.26000000,1980.12661900,88562762.79188752,135331
1628834400000,2021-08-13 06:00:00,BTC/USDT,44847.27000000,45949.01000000,44847.27000000,45833.34000000,2391.28250100,109134576.87131101,78332
1628838000000,2021-08-13 07:00:00,BTC/USDT,45833.35000000,46336.00000000,45833.34000000,46103.51000000,4690.91757900,216431799.62831653,131349
1628841600000,2021-08-13 08:00:00,BTC/USDT,46103.50000000,46323.62000000,45959.90000000,46161.01000000,3063.92669300,141403315.38945548,68626
1628845200000,2021-08-13 09:00:00,BTC/USDT,46161.01000000,46449.82000000,46132.39000000,46216.18000000,2987.87923200,138331137.17610275,110152
1628848800000,2021-08-13 10:00:00,BTC/USDT,46216.83000000,46474.34000000,46216.83000000,46293.25000000,1862.49860900,86343488.56177218,85943
1628852400000,2021-08-13 11:00:00,BTC/USDT,46293.25000000,46537.15000000,46111.00000000,46138.47000000,2476.34928100,114776599.21873678,61892
1628856000000,2021-08-13 12:00:00,BTC/USDT,46138.46000000,46643.00000000,46128.18000000,46524.98000000,2080.60962900,96582907.49960662,80378
1628859600000,2021-08-13 13:00:00,BTC/USDT,46524.97000000,46666.00000000,46406.00000000,46529.99000000,1712.30516500,79683841.91570038,51484
1628863200000,2021-08-13 14:00:00,BTC/USDT,46529.99000000,46630.00000000,46243.36000000,46432.47000000,2144.31358100,99597321.24573630,54730
1628866800000,2021-08-13 15:00:00,BTC/USDT,46438.37000000,46530.88000000,46150.00000000,46357.15000000,2251.54975400,104260419.27752376,61569
1628870400000,2021-08-13 16:00:00,BTC/USDT,46357.15000000,46544.43000000,46222.31000000,46533.00000000,1388.82384700,64430117.98520366,44803
1628874000000,2021-08-13 17:00:00,BTC/USDT,46533.00000000,46622.21000000,46396.11000000,46490.81000000,1130.23580200,52559281.59852113,105365
1628877600000,2021-08-13 18:00:00,BTC/USDT,46490.80000000,46630.00000000,46301.00000000,46510.58000000,1563.41913500,72723755.92067864,71235
1628881200000,2021-08-13 19:00:00,BTC/USDT,46510.58000000,46532.03000000,46257.00000000,46459.86000000,1094.08683400,50748210.18289878,82655
1628884800000,2021-08-13 20:00:00,BTC/USDT,46459.86000000,47886.00000000,46390.00000000,47588.00000000,7305.58112900,346042082.89846081,192792
1628888400000,2021-08-13 21:00:00,BTC/USDT,47584.63000000,47816.47000000,47502.68000000,47556.76000000,2084.47273900,99368698.55000507,106782
1628892000000,2021-08-13 22:00:00,BTC/USDT,47556.76000000,47660.40000000,47479.06000000,47549.87000000,1299.78094800,61823057.38649981,43804
1628895600000,2021-08-13 23:00:00,BTC/USDT,47549.88000000,47835.73000000,47511.32000000,47800.00000000,1927.49344100,91893779.69144379,106378
1628899200000,2021-08-14 00:00:00,BTC/USDT,47799.99000000,47834.12000000,47490.15000000,47631.85000000,2000.52950200,95358648.04991226,158083
1628902800000,2021-08-14 01:00:00,BTC/USDT,47631.86000000,47758.18000000,47551.35000000,47557.16000000,1452.44128900,69214867.79700188,38330
1628906400000,2021-08-14 02:00:00,BTC/USDT,47557.16000000,47639.14000000,47382.00000000,47540.79000000,1111.80001200,52835478.64114641,34478
1628910000000,2021-08-14 03:00:00,BTC/USDT,47542.07000000,47594.46000000,47417.85000000,47540.00000000,918.26175200,43625386.87066645,114199
1628913600000,2021-08-14 04:00:00,BTC/USDT,47540.00000000,47676.86000000,47431.34000000,47456.66000000,1171.97842900,55733458.49624710,99476
1628917200000,2021-08-14 05:00:00,BTC/USDT,47456.66000000,47576.39000000,47430.00000000,47524.06000000,1004.28028400,47703656.18399846,147673
1628920800000,2021-08-14 06:00:00,BTC/USDT,47524.06000000,47673.87000000,47494.35000000,47508.36000000,1038.02014500,49391531.89856138,36425
1628924400000,2021-08-14 07:00:00,BTC/USDT,47508.35000000,47722.98000000,47477.00000000,47616.12000000,1171.56020100,55803293.30497526,39869
1628928000000,2021-08-14 08:00:00,BTC/USDT,47616.12000000,47699.99000000,47510.25000000,47595.92000000,940.94412600,44799287.23966486,66448
1628931600000,2021-08-14 09:00:00,BTC/USDT,47595.92000000,48144.00000000,46704.60000000,46993.74000000,5016.80251900,238604983.30010591,140276
1628935200000,2021-08-14 10:00:00,BTC/USDT,46993.73000000,47267.31000000,46108.00000000,46308.15000000,7898.99418900,368802157.38458955,216986
1628938800000,2021-08-14 11:00:00,BTC/USDT,46308.15000000,46571.74000000,45971.03000000,46569.99000000,3330.02006900,154122928.65882689,88656
1628942400000,2021-08-14 12:00:00,BTC/USDT,46570.54000000,46584.75000000,46250.00000000,46269.35000000,2374.34232500,110157428.87608396,53580
